productid,productname,price,rating,description,image,category
100,Cockpiy Module,2500,4.6,"Brand: Motherson
Manufacturer: Samvardhana Motherson Group
Material: Automotive Grade Polymer
Weight: 18 kg
Dimensions: 1400 x 650 x 500 mm
Warranty: 2 Years
Stock: In Stock
Compatibility: Passenger Vehicles
Features:
- Lightweight structure
- High durability
- OEM quality manufacturing
Package Includes: 1 Product
Country of Origin: India",https://www.smrpbv.com/images/smp-products/instrument-panel.jpg,Interior Products
101,Instrumental Panel,950,4.5,"Brand: Motherson
Manufacturer: Samvardhana Motherson Group
Material: High Strength Automotive Polymer
Weight: 12 kg
Dimensions: 1300 x 500 x 400 mm
Warranty: 2 Years
Stock: In Stock
Compatibility: Passenger Vehicles
Features:
- Integrated dashboard housing
- Scratch resistant surface finish
- Heat and vibration resistant
- OEM precision manufacturing
- Supports infotainment and control systems
Package Includes: 1 Instrument Panel
Country of Origin: India",https://issautomotive.com/cdn/shop/articles/cluster_1200x1200.jpg?v=1600889345,Interior Products
102,Door Panel,650,4.4,"Brand: Motherson
Manufacturer: Samvardhana Motherson Group
Material: ABS Polymer & Fabric Composite
Weight: 6 kg
Dimensions: 1100 x 500 x 120 mm
Warranty: 2 Years
Stock: In Stock
Compatibility: Passenger Vehicles
Features:
- Lightweight and durable construction
- Integrated armrest and handle support
- Noise insulation structure
- Stylish interior finish
- OEM quality assembly
Package Includes: 1 Door Panel
Country of Origin: India",https://4.imimg.com/data4/JK/JI/MY-8516474/car-door-panel-500x500.jpg,Interior Products
103,Center Console,720,4.5,"Brand: Motherson
Manufacturer: Samvardhana Motherson Group
Material: Automotive Grade Polymer
Weight: 8 kg
Dimensions: 700 x 350 x 250 mm
Warranty: 2 Years
Stock: In Stock
Compatibility: Passenger Vehicles
Features:
- Storage compartments and cup holders
- Integrated gear console housing
- High durability structure
- Premium surface finish
- OEM interior fitment
Package Includes: 1 Centre Console
Country of Origin: India",https://m.media-amazon.com/images/I/714gs5XExbL.jpg,Interior Products
104,Ventilation System,480,4.3,"Brand: Motherson
Manufacturer: Samvardhana Motherson Group
Material: High Quality Polymer & Airflow Duct Components
Weight: 4 kg
Dimensions: 600 x 200 x 150 mm
Warranty: 2 Years
Stock: In Stock
Compatibility: Passenger Vehicles
Features:
- Efficient airflow distribution
- Heat resistant materials
- Lightweight air duct system
- High durability structure
- OEM automotive standard design
Package Includes: 1 Ventilation System Assembly
Country of Origin: India","https://res.cloudinary.com/jerrick/image/upload/d_642250b563292b35f27461a7.png,f_jpg,fl_progressive,q_auto,w_1024/c0rdz5e5ynjhpoq3wokh.jpg",Interior Products
105,Glove System,320,4.2,"Brand: Motherson
Manufacturer: Samvardhana Motherson Group
Material: ABS Automotive Polymer
Weight: 2.5 kg
Dimensions: 350 x 200 x 180 mm
Warranty: 2 Years
Stock: In Stock
Compatibility: Passenger Vehicles
Features:
- Secure storage compartment
- Smooth opening mechanism
- Durable hinge structure
- Scratch resistant finish
- OEM dashboard integration
Package Includes: 1 Glove Box
Country of Origin: India",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4h8HiQVC_oLXM1rxWqVVqgoIj97W5Z6V5ag&s,Interior Products
106,Air Lousers,2100,4.3,"Brand: Motherson
Manufacturer: Samvardhana Motherson Group
Material: Heat Resistant Automotive Polymer
Weight: 1 kg
Dimensions: 200 x 100 x 80 mm
Warranty: 2 Years
Stock: In Stock
Compatibility: Passenger Vehicles
Features:
- Adjustable airflow direction
- Smooth rotation mechanism
- Heat resistant design
- Durable automotive grade material
- OEM dashboard compatibility
Package Includes: 1 Air Louver Assembly
Country of Origin: India",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS287YU3t_z0ZgeB8AZz2rLlXVRZBFRkyyjKw&s,Interior Products
107,Grab Handles,1800,4.4,"Brand: Motherson
Manufacturer: Samvardhana Motherson Group
Material: Reinforced Polymer with Rubber Grip
Weight: 0.8 kg
Dimensions: 250 x 70 x 50 mm
Warranty: 2 Years
Stock: In Stock
Compatibility: Passenger Vehicles
Features:
- Ergonomic passenger support handle
- High strength mounting structure
- Durable and lightweight
- Comfortable grip design
- OEM interior installation
Package Includes: 1 Grab Handle
Country of Origin: India","https://m.media-amazon.com/images/I/61u-oJz-LhL._AC_UF894,1000_QL80_.jpg",Interior Products
108,Storage Systems,3500,4.3,"Brand: Motherson
Manufacturer: Samvardhana Motherson Group
Material: Automotive Grade Polymer
Weight: 3.5 kg
Dimensions: 400 x 250 x 200 mm
Warranty: 2 Years
Stock: In Stock
Compatibility: Passenger Vehicles
Features:
- Integrated interior storage compartments
- Lightweight durable construction
- Easy installation and maintenance
- Scratch resistant surface
- OEM quality automotive component
Package Includes: 1 Storage System Module
Country of Origin: India",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAGXoUixuVMstJpM9e-uNVi21OvicjKgyLdQ&s,Interior Products
109,Decorative Interior panels,4200,4.4,"Brand: Motherson
Manufacturer: Samvardhana Motherson Group
Material: High Quality Polymer with Decorative Finish
Weight: 2 kg
Dimensions: 600 x 150 x 40 mm
Warranty: 2 Years
Stock: In Stock
Compatibility: Passenger Vehicles
Features:
- Premium aesthetic interior finish
- Scratch resistant coating
- Lightweight and durable design
- Enhances vehicle cabin appearance
- OEM manufacturing standards
Package Includes: 1 Decorative Interior Panel
Country of Origin: India",https://m.media-amazon.com/images/I/711UNZPtr8L.jpg,Interior Products
110,Airbag Boxes,5500,4.5,"Brand: Motherson
Manufacturer: Samvardhana Motherson Group
Material: Reinforced Automotive Polymer
Weight: 3 kg
Dimensions: 300 x 200 x 120 mm
Warranty: 2 Years
Stock: In Stock
Compatibility: Passenger Vehicles
Features:
- Secure airbag housing structure
- High impact resistant material
- Precision molded automotive component
- Lightweight design
- OEM safety compliance
Package Includes: 1 Airbag Box
Country of Origin: India",https://cdn.skoda-storyboard.com/2024/06/H1_recall-actions-m22-airbag-kopie_8f4657ad.jpg,Interior Products
111,Leather & Textile Panels,6000,4.6,"Brand: Motherson
Manufacturer: Samvardhana Motherson Group
Material: Leather, Textile Fabric and Polymer Base
Weight: 4 kg
Dimensions: 800 x 300 x 60 mm
Warranty: 2 Years
Stock: In Stock
Compatibility: Passenger Vehicles
Features:
- Premium leather and textile finish
- Enhanced comfort and interior aesthetics
- Durable stitched surface
- Lightweight structural backing
- OEM quality interior component
Package Includes: 1 Leather & Textile Panel
Country of Origin: India",https://image.made-in-china.com/365f3j00ESjiVPKGCFgD/Auto-Door-Panel-Dashboard-Custom-Leather-Fabric-Vinyl-Upholstery-Material.webp,Interior Products
112,Soft-touch panels,4500,4.4,"Brand: Motherson
Manufacturer: Samvardhana Motherson Group
Material: Soft Polymer Composite
Weight: 3 kg
Dimensions: 700 x 250 x 50 mm
Warranty: 2 Years
Stock: In Stock
Compatibility: Passenger Vehicles
Features:
- Premium soft-touch surface finish
- Scratch resistant coating
- Comfortable tactile experience
- Durable polymer construction
- OEM interior design standard
Package Includes: 1 Soft-Touch Panel
Country of Origin: India",https://ascencione.com/wp-content/uploads/2021/06/SmartTouchMain-1.jpg,Interior Products
